Charge,Formula,Mass Diff,Name,Type
0,HN,-15.01090,NH,NEUTRAL_LOSS
0,CH3,-15.023475,CH3,NEUTRAL_LOSS
0,H3N,-17.026549,NH3,NEUTRAL_LOSS
0,H2O,-18.010565,H2O,NEUTRAL_LOSS
0;0,H2O;H2O,-18.010565;-18.010565,H2O;H2O,NEUTRAL_LOSS;NEUTRAL_LOSS
0;0;0,H2O;H2O;H2O,-18.010565;-18.010565;-18.010565,H2O;H2O;H2O,NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS
0;0;0;0,H2O;H2O;H2O;H2O,-18.010565;-18.010565;-18.010565;-18.010565,H2O;H2O;H2O;H2O,NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS
0;0;0;0;0,H2O;H2O;H2O;H2O;H2O,-18.010565;-18.010565;-18.010565;-18.010565;-18.010565,H2O;H2O;H2O;H2O;H2O,NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS
0,CHN,-27.01090,HCN,NEUTRAL_LOSS
0,CO:,-27.994915,CO,NEUTRAL_LOSS
0;0,CO;CO,-27.994915;-27.994915,CO;CO,NEUTRAL_LOSS;NEUTRAL_LOSS
0;0;0,CO;CO;CO,-27.994915;-27.994915;-27.994915,CO;CO;CO,NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS
0;0,CH2;CH2,-14.01565;-14.01565,CH2;CH2,NEUTRAL_LOSS;NEUTRAL_LOSS
0;0,CH2;CH3,-14.01565;-15.02348,CH2;CH3,NEUTRAL_LOSS;NEUTRAL_LOSS
0,CH2O,-30.01057,CH2O,NEUTRAL_LOSS
0,CH4O,-32.02621,CH3OH,NEUTRAL_LOSS
0,C2H2O,-42.010565,C2H2O,NEUTRAL_LOSS
0,CHON,-43.00581,CHNO,NEUTRAL_LOSS
0,CO2,-43.989829,CO2,NEUTRAL_LOSS
0;0,CO2;CO2,-43.989829;-43.989829,CO2;CO2,NEUTRAL_LOSS;NEUTRAL_LOSS
0;0,H2O;CO,-18.010565;-27.994915,H2O;CO,NEUTRAL_LOSS;NEUTRAL_LOSS
0,CH2O2,-46.005479,HCOOH,NEUTRAL_LOSS
0,C2H6O,-46.04187,C2H6O,NEUTRAL_LOSS
0,C2H4O2,-60.02113,CH3COOH,NEUTRAL_LOSS
0,CH6O3,-66.03170,CH6O3,NEUTRAL_LOSS
0;0,CH2O;CO2,-30.01057;-43.989829,CH2O;CO2,NEUTRAL_LOSS;NEUTRAL_LOSS
0;0;0,CH2;CH3;CH2O2,-14.01565;-15.02348;-46.005479,CH2;CH3;CH2O2,NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS
0,C4H9NO,-87.06841,C4H9NO,NEUTRAL_LOSS
0,C3H4O3,-88.01604,pyruvic,NEUTRAL_LOSS
0,C4H8O2,-88.05243,butyric,NEUTRAL_LOSS
0,C3H7NO2,-89.04768,alanine,NEUTRAL_LOSS
0,C3H6O3,-90.031695,crossRingSugar,NEUTRAL_LOSS
0,H2O4S,-97.96738,sulfuric,NEUTRAL_LOSS
0,H3O4P,-97.97690,phosphoric,NEUTRAL_LOSS
0,C5H10O2,-102.06808,valeric,NEUTRAL_LOSS
0,C3H4O4,-104.01096,malonic,NEUTRAL_LOSS
0;0;0,CO2;CO2;H2O,-43.989829;-43.989829;-18.010565,CO2;CO2;H2O,NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS
0,C3H8O4,-108.04226,C3H8O4,NEUTRAL_LOSS
0,C5H9NO2,-115.06333,proline,NEUTRAL_LOSS
0;0;0;0,CO2;CO2;CH3;CH3,-43.989829;-43.989829;-15.023475;-15.023475,CO2;CO2;CH3;CH3,NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS
0,C4H8O4,-120.04226,crossRingSugar2,NEUTRAL_LOSS
0;0;0;0,CO2;CO2;H2O;H2O,-43.989829;-43.989829;-18.010565;-18.010565,CO2;CO2;H2O;H2O,NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS
0,C6H6O3,-126.03169,C6H6O3(HRF),NEUTRAL_LOSS
0,C5H8O4,-132.04226,pentose-H2O,NEUTRAL_LOSS
0,C8H8O2,-136.05243,RDA-1,NEUTRAL_LOSS
0,C6H8O4,-144.04226,C6H8O4(HRF),NEUTRAL_LOSS
0,C9H6O2,-146.03678,coumaroyl,NEUTRAL_LOSS
0,C6H10O4,-146.05791,desoxyhexoseH2O,NEUTRAL_LOSS
0;0,C6H10O4;C6H10O4,-146.05791;-146.05791,desoxyhexoseH2O;desoxyhexoseH2O,NEUTRAL_LOSS;NEUTRAL_LOSS
0,C9H8O2,-148.05243,cinnamoyl,NEUTRAL_LOSS
0,C7H4O4,-152.01096,galloyl,NEUTRAL_LOSS
0,C8H8O3,-152.04734,RDA-2,NEUTRAL_LOSS
0,C9H6O3,-162.03169,caffeoyl,NEUTRAL_LOSS
0,C6H10O5,-162.05282,hexoseH2O,NEUTRAL_LOSS
0;0,C6H10O5;C6H10O5,-162.05282;-162.05282,hexoseH2O;hexoseH2O,NEUTRAL_LOSS;NEUTRAL_LOSS
0;0;0,C6H10O5;C6H10O5;C6H10O5,-162.05282;-162.05282;-162.05282,hexoseH2O;hexoseH2O;hexoseH2O,NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS
0,C8H8O4,-168.04226,RDA-3,NEUTRAL_LOSS
0,C8H10O4,-170.05791,RDA-2H2O,NEUTRAL_LOSS
0,C6H8O6,-176.03209,glucuronicH2O,NEUTRAL_LOSS
0,C10H8O3,-176.04734,feruloyl,NEUTRAL_LOSS
0,C6H13NO5,-179.07937,hexoseNH2,NEUTRAL_LOSS
0,C6H12O6,-180.06339,hexose,NEUTRAL_LOSS
0,C7H12O6,-192.06339,quinoyl,NEUTRAL_LOSS
0,C6H12O6,-197.08994,hexoseNH2H2O,NEUTRAL_LOSS
0,C6H14O7,-198.07395,hexoseH2O,NEUTRAL_LOSS
0,C8H12O6,-204.06339,acetylhexoseH2O,NEUTRAL_LOSS
0,C11H10O4,-206.05791,sinapoyl,NEUTRAL_LOSS
0,C16H30O,-238.22967,pamlitoyl,NEUTRAL_LOSS
0,C9H12O8,-248.05322,malonylhexose,NEUTRAL_LOSS
0,C13H14O6,-266.07904,benzoylhexose,NEUTRAL_LOSS
0,C15H16O7,-308.08960,coumaroylhexose,NEUTRAL_LOSS
0,C13H14O9,-314.06378,galloylhexose,NEUTRAL_LOSS
0,C15H16O8,-324.08452,caffeoylhexose,NEUTRAL_LOSS
0,C16H18O8,-338.10017,feruloylhexose,NEUTRAL_LOSS
0,C17H20O9,-368.11073,sinapoylhexose,NEUTRAL_LOSS
0,O,15.99491,O,CLUSTER
0,C2H7N,45.05785,ethylamine,CLUSTER
0,CH2O2,46.005479,formic,CLUSTER
0,C2H6O,46.04186,ethanol,CLUSTER
0,C2H4O2,60.02113,acetic,CLUSTER
0,CH4O,32.02622,methanol,CLUSTER
0,C2H3N,41.02655,acetonitrile,CLUSTER
0,C3H8O,60.05806,isopropanol,CLUSTER
